site,depth_num,depth_name,treatment,rep,W1_tube_cap_g,soil_g,W2,W3_resid_tube_soil_7_g,soln_tube_soil_13_g,C3,C4,F,AEC,unique_ID,unique_ID_short,KCl_NO3_blank_corrected_ug_N_L,pH_DI,ph_1M_KCl,bulk_density,years_soy,years_maize,years_since_deforested
APP2A,5,6-May,forest,pink,12.961,0.1864,13.1474,13.5288,39.1835,212.461,5.5298,0.968665135,0.983255975,APP2A_4_5_p,APP2A_4_5,885.6499,5.91,5.47,1.102439863,0,0,0
APP2A,6,7-Jun,forest,pink,12.9205,0.2154,13.1359,13.4898,35.5086,217.104,6.0662,0.968665135,0.796024031,APP2A_5_6_p,APP2A_5_6,442.34145,5.75,5.47,1.268006873,0,0,0
APP2A,7,8-Jul,forest,pink,12.9026,0.189,13.0916,13.4726,37.9134,152.368,5.8115,0.968665135,1.328058494,APP2A_6_7_p,APP2A_6_7,193.72545,6.01,5.38,1.30137457,0,0,0
APP2A,8,0-1,forest,pink,12.939,0.1889,13.1279,13.4683,34.9461,216.593,6.3361,0.968665135,0.99447901,APP2A_7_8_p,APP2A_7_8,28.69095,5.82,5.24,1.281408935,0,0,0
APPM,1,0-1,forest,orange,12.8766,0.1447,13.0213,13.2286,,155.159,4.0242,0.917900704,,APPM_0_1_o,APPM_0_1,0,3.84,3.87,1.297530069,0,0,0
APPM,2,2-Jan,forest,orange,12.862,0.1562,13.0182,13.3278,36.1955,155.577,3.95,0.917900704,0.853486828,APPM_1_2_o,APPM_1_2,301.3098,5.19,4.33,1.320107388,0,0,0
APPM,3,3-Feb,forest,orange,12.8733,0.1482,13.0215,13.312,35.9365,155.161,4.1322,0.917900704,1.028766724,APPM_2_3_o,APPM_2_3,0,5.09,4.49,1.31020189,0,0,0
APPM,4,4-Mar,forest,orange,12.8476,0.1472,12.9948,13.2927,43.3384,220.21,4.2141,0.917900704,1.299945641,APPM_3_4_o,APPM_3_4,0,5.49,4.94,1.349879725,0,0,0
APPM,5,5-Apr,forest,orange,12.992,0.1411,13.1331,13.4547,35.3108,156.432,5.1113,0.917900704,1.373086813,APPM_4_5_o,APPM_4_5,86.62635,5.33,4.72,1.429733677,0,0,0
APPM,6,6-May,forest,orange,12.9165,0.155,13.0715,13.3716,36.335,156.508,4.8085,0.917900704,1.286552239,APPM_5_6_o,APPM_5_6,0,5.49,4.69,1.485021478,0,0,0
APPM,1,0-1,forest,pink,12.9344,0.1809,13.1153,13.4395,34.62232222,157.142,3.5968,0.917900704,0.448639938,APPM_0_1_p,APPM_0_1,0,3.84,3.87,1.297530069,0,0,0
APPM,2,2-Jan,forest,pink,12.8928,0.1457,13.0385,13.3666,38.637,161.767,5.4009,0.917900704,1.796491803,APPM_1_2_p,APPM_1_2,301.3098,5.19,4.33,1.320107388,0,0,0
APPM,3,3-Feb,forest,pink,12.8084,0.1795,12.9879,13.3831,36.726,153.713,5.2604,0.917900704,1.097769109,APPM_2_3_p,APPM_2_3,0,5.09,4.49,1.31020189,0,0,0
APPM,4,4-Mar,forest,pink,12.9191,0.1526,13.0717,13.3513,41.1402,216.589,6.3415,0.917900704,2.364862094,APPM_3_4_p,APPM_3_4,0,5.49,4.94,1.349879725,0,0,0
APPM,5,5-Apr,forest,pink,12.9119,0.1711,13.083,13.4325,35.5596,157.891,5.1829,0.917900704,1.101133972,APPM_4_5_p,APPM_4_5,86.62635,5.33,4.72,1.429733677,0,0,0
APPM,6,6-May,forest,pink,12.9477,0.1579,13.1056,13.5266,35.4233,155.435,4.7707,0.917900704,0.798548985,APPM_5_6_p,APPM_5_6,0,5.49,4.69,1.485021478,0,0,0
CN,1,0-1,forest,orange,12.9076,0.1592,13.0668,13.3451,37.6676,158.893,3.9392,0.917900704,1.01698897,CN_0_1_o,CN_0_1,403.00145,4.13,3.92,1.108235968,0,0,0
CN,2,2-Jan,forest,orange,12.8326,0.1472,12.9798,13.2855,35.6693,150.979,6.5964,0.917900704,2.160954793,CN_1_2_o,CN_1_2,448.19825,4.92,4.36,1.027766323,0,0,0
CN,3,3-Feb,forest,orange,12.8228,0.1594,12.9822,13.318,34.7222,148.581,5.2492,0.917900704,1.238115247,CN_2_3_o,CN_2_3,346.5062,5.38,4.8,1.005601375,0,0,0
CN,4,4-Mar,forest,orange,12.9403,0.1917,13.132,13.5133,35.3997,153.928,7.717,0.917900704,1.813729847,CN_3_4_o,CN_3_4,504.6935,5.3,5.22,0.989278351,0,0,0
CN,5,5-Apr,forest,orange,12.8656,0.1524,13.018,13.3542,35.7272,151.191,11.1645,0.917900704,4.08727544,CN_4_5_o,CN_4_5,301.3094,5.77,5.35,1.102439863,0,0,0
CN,6,6-May,forest,orange,12.8827,0.1677,13.0504,13.366,36.0599,150.573,5.177,0.917900704,1.311980195,CN_5_6_o,CN_5_6,0,5.63,5.1,1.268006873,0,0,0
